Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,53.0,1063.0,0.0,"(72, 47)","[[(150, 177), 6], [(150, 177), 11], [(95, 166), 16], [(74, 154), 17], [(40, 145), 18], [(235, 296), 21], [(74, 154), 22], [(189, 253), 25], [(151, 214), 28], [(125, 161), 29], [(74, 154), 30], [(95, 166), 32], [(151, 214), 33], [(125, 161), 34], [(189, 253), 35], [(139, 263), 38], [(235, 296), 40], [(180, 284), 41], [(165, 114), 42], [(73, 115), 43], [(150, 177), 44], [(73, 115), 48], [(95, 166), 49], [(42, 208), 50], [(68, 210), 52], [(89, 40), 53], [(165, 114), 54], [(42, 208), 57], [(165, 114), 62], [(150, 177), 63], [(139, 263), 67], [(95, 220), 68], [(151, 214), 69], [(180, 284), 70], [(76, 23), 72], [(151, 214), 73], [(139, 263), 74]]"
0,2,47.0,940.0,0.0,"(133, 242)","[[(151, 214), 17], [(139, 263), 18], [(151, 214), 19], [(189, 253), 20], [(95, 220), 23], [(150, 177), 24], [(151, 214), 25], [(235, 296), 26], [(151, 214), 27], [(189, 253), 28], [(242, 273), 29], [(74, 154), 30], [(83, 66), 32], [(83, 66), 33], [(151, 214), 34], [(242, 273), 35], [(180, 284), 36], [(95, 220), 38], [(115, 95), 39], [(165, 114), 40], [(95, 220), 41], [(105, 197), 42], [(73, 115), 43]]"
0,3,51.0,1024.0,0.0,"(145, 277)","[[(139, 263), 10], [(95, 166), 13], [(139, 263), 14], [(115, 95), 15], [(74, 154), 16], [(150, 177), 17]]"
0,4,50.0,1008.0,0.0,"(80, 166)","[[(151, 214), 11], [(151, 214), 12], [(143, 89), 13]]"
0,5,54.0,1091.0,0.0,"(111, 118)","[[(95, 166), 5], [(151, 214), 10], [(143, 89), 12], [(72, 166), 16], [(95, 220), 17], [(235, 296), 18], [(151, 214), 19], [(143, 89), 22], [(74, 154), 23], [(76, 23), 24], [(74, 154), 25], [(189, 253), 26], [(115, 95), 27]]"
0,6,53.0,1078.0,0.0,"(144, 247)","[[(189, 253), 5], [(189, 253), 9], [(95, 166), 13], [(235, 296), 14], [(150, 177), 16], [(74, 154), 17], [(95, 220), 18], [(95, 166), 19], [(189, 253), 20], [(83, 66), 21], [(201, 224), 22], [(42, 208), 24], [(180, 284), 25], [(242, 273), 26], [(139, 263), 27], [(216, 271), 28], [(95, 166), 29], [(83, 66), 30], [(139, 263), 31], [(151, 214), 32], [(180, 284), 33], [(73, 115), 38]]"
0,7,53.0,1071.0,0.0,"(172, 160)","[[(189, 253), 6], [(139, 263), 11], [(151, 214), 13], [(189, 253), 14], [(189, 253), 15], [(115, 95), 16], [(40, 145), 17], [(73, 115), 18], [(125, 161), 19], [(139, 263), 21], [(178, 217), 22], [(76, 23), 23], [(125, 161), 24], [(95, 166), 25], [(178, 217), 27], [(180, 284), 28], [(105, 197), 29], [(139, 263), 30], [(180, 284), 31], [(42, 208), 32]]"
0,8,56.0,1138.0,0.0,"(150, 229)","[[(151, 214), 7], [(165, 114), 8], [(95, 166), 9], [(105, 53), 13]]"
0,9,53.0,1065.0,0.0,"(54, 163)","[[(189, 253), 10], [(150, 177), 13]]"
1,1,55.0,1078.0,45.5,"(72, 47)","[[(150, 177), 6], [(150, 177), 11], [(95, 166), 16], [(74, 154), 17], [(40, 145), 18], [(235, 296), 21], [(74, 154), 22], [(189, 253), 25], [(151, 214), 28], [(125, 161), 29], [(74, 154), 30], [(95, 166), 32], [(151, 214), 33], [(125, 161), 34], [(189, 253), 35], [(139, 263), 38], [(235, 296), 40], [(180, 284), 41], [(165, 114), 42], [(73, 115), 43], [(150, 177), 44], [(73, 115), 48], [(95, 166), 49], [(42, 208), 50], [(68, 210), 52], [(89, 40), 53], [(165, 114), 54], [(42, 208), 57], [(165, 114), 62], [(150, 177), 63], [(139, 263), 67], [(95, 220), 68], [(151, 214), 69], [(180, 284), 70], [(76, 23), 72], [(151, 214), 73], [(139, 263), 74]]"
1,2,47.0,962.0,49.099999999999994,"(133, 242)","[[(151, 214), 17], [(139, 263), 18], [(151, 214), 19], [(189, 253), 20], [(95, 220), 23], [(150, 177), 24], [(151, 214), 25], [(235, 296), 26], [(151, 214), 27], [(189, 253), 28], [(242, 273), 29], [(74, 154), 30], [(83, 66), 32], [(83, 66), 33], [(151, 214), 34], [(242, 273), 35], [(180, 284), 36], [(95, 220), 38], [(115, 95), 39], [(165, 114), 40], [(95, 220), 41], [(105, 197), 42], [(73, 115), 43]]"
1,3,49.0,1056.0,56.42621216482358,"(145, 277)","[[(139, 263), 10], [(95, 166), 13], [(139, 263), 14], [(115, 95), 15], [(74, 154), 16], [(150, 177), 17]]"
1,4,53.0,1032.0,52.57325,"(80, 166)","[[(151, 214), 11], [(151, 214), 12], [(143, 89), 13]]"
1,5,54.0,1118.0,54.53008120551227,"(111, 118)","[[(95, 166), 5], [(151, 214), 10], [(143, 89), 12], [(72, 166), 16], [(95, 220), 17], [(235, 296), 18], [(151, 214), 19], [(143, 89), 22], [(74, 154), 23], [(76, 23), 24], [(74, 154), 25], [(189, 253), 26], [(115, 95), 27]]"
1,6,53.0,1117.0,59.66164666200545,"(144, 247)","[[(189, 253), 5], [(189, 253), 9], [(95, 166), 13], [(235, 296), 14], [(150, 177), 16], [(74, 154), 17], [(95, 220), 18], [(95, 166), 19], [(189, 253), 20], [(83, 66), 21], [(201, 224), 22], [(42, 208), 24], [(180, 284), 25], [(242, 273), 26], [(139, 263), 27], [(216, 271), 28], [(95, 166), 29], [(83, 66), 30], [(139, 263), 31], [(151, 214), 32], [(180, 284), 33], [(73, 115), 38]]"
1,7,54.0,1100.0,47.2,"(172, 160)","[[(189, 253), 6], [(139, 263), 11], [(151, 214), 13], [(189, 253), 14], [(189, 253), 15], [(115, 95), 16], [(40, 145), 17], [(73, 115), 18], [(125, 161), 19], [(139, 263), 21], [(178, 217), 22], [(76, 23), 23], [(125, 161), 24], [(95, 166), 25], [(178, 217), 27], [(180, 284), 28], [(105, 197), 29], [(139, 263), 30], [(180, 284), 31], [(42, 208), 32]]"
1,8,58.0,1175.0,56.668,"(150, 229)","[[(151, 214), 7], [(165, 114), 8], [(95, 166), 9], [(105, 53), 13]]"
1,9,51.0,1065.0,47.30000000000001,"(54, 163)","[[(189, 253), 10], [(150, 177), 13]]"
2,1,55.0,1102.0,72.0898925,"(113, 240)","[[(150, 177), 6], [(150, 177), 11], [(95, 166), 16], [(74, 154), 17], [(40, 145), 18], [(235, 296), 21], [(74, 154), 22], [(189, 253), 25], [(151, 214), 28], [(125, 161), 29], [(74, 154), 30], [(95, 166), 32], [(151, 214), 33], [(125, 161), 34], [(189, 253), 35], [(139, 263), 38], [(235, 296), 40], [(180, 284), 41], [(165, 114), 42], [(73, 115), 43], [(150, 177), 44], [(73, 115), 48], [(95, 166), 49], [(42, 208), 50], [(68, 210), 52], [(89, 40), 53], [(165, 114), 54], [(42, 208), 57], [(165, 114), 62], [(150, 177), 63], [(139, 263), 67], [(95, 220), 68], [(151, 214), 69], [(180, 284), 70], [(76, 23), 72], [(151, 214), 73], [(139, 263), 74]]"
2,2,46.0,919.0,68.9671813,"(223, 277)","[[(151, 214), 17], [(139, 263), 18], [(151, 214), 19], [(189, 253), 20], [(95, 220), 23], [(150, 177), 24], [(151, 214), 25], [(235, 296), 26], [(151, 214), 27], [(189, 253), 28], [(242, 273), 29], [(74, 154), 30], [(83, 66), 32], [(83, 66), 33], [(151, 214), 34], [(242, 273), 35], [(180, 284), 36], [(95, 220), 38], [(115, 95), 39], [(165, 114), 40], [(95, 220), 41], [(105, 197), 42], [(73, 115), 43]]"
2,3,58.0,1078.0,85.98971589766703,"(242, 289)","[[(139, 263), 10], [(95, 166), 13], [(139, 263), 14], [(115, 95), 15], [(74, 154), 16], [(150, 177), 17]]"
2,4,52.0,1004.0,67.48557656012312,"(129, 182)","[[(151, 214), 11], [(151, 214), 12], [(143, 89), 13]]"
2,5,58.0,1118.0,80.14639281140781,"(93, 124)","[[(95, 166), 5], [(151, 214), 10], [(143, 89), 12], [(72, 166), 16], [(95, 220), 17], [(235, 296), 18], [(151, 214), 19], [(143, 89), 22], [(74, 154), 23], [(76, 23), 24], [(74, 154), 25], [(189, 253), 26], [(115, 95), 27]]"
2,6,57.0,1141.0,81.64764394418984,"(78, 204)","[[(189, 253), 5], [(189, 253), 9], [(95, 166), 13], [(235, 296), 14], [(150, 177), 16], [(74, 154), 17], [(95, 220), 18], [(95, 166), 19], [(189, 253), 20], [(83, 66), 21], [(201, 224), 22], [(42, 208), 24], [(180, 284), 25], [(242, 273), 26], [(139, 263), 27], [(216, 271), 28], [(95, 166), 29], [(83, 66), 30], [(139, 263), 31], [(151, 214), 32], [(180, 284), 33], [(73, 115), 38]]"
2,7,49.0,1121.0,74.5541972,"(171, 217)","[[(189, 253), 6], [(139, 263), 11], [(151, 214), 13], [(189, 253), 14], [(189, 253), 15], [(115, 95), 16], [(40, 145), 17], [(73, 115), 18], [(125, 161), 19], [(139, 263), 21], [(178, 217), 22], [(76, 23), 23], [(125, 161), 24], [(95, 166), 25], [(178, 217), 27], [(180, 284), 28], [(105, 197), 29], [(139, 263), 30], [(180, 284), 31], [(42, 208), 32]]"
2,8,57.0,1203.0,74.62580341072001,"(151, 190)","[[(151, 214), 7], [(165, 114), 8], [(95, 166), 9], [(105, 53), 13]]"
2,9,50.0,1087.0,76.08669970000001,"(123, 263)","[[(189, 253), 10], [(150, 177), 13]]"
