Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,53.0,1075.0,0.0,"(42, 222)","[[(136, 233), 8], [(136, 233), 11], [(69, 68), 13], [(93, 220), 19]]"
0,2,51.0,1032.0,0.0,"(192, 283)","[[(212, 285), 13], [(141, 164), 15], [(82, 193), 23], [(141, 164), 26], [(82, 193), 31], [(177, 217), 33]]"
0,3,53.0,1060.0,0.0,"(148, 264)",[]
0,4,54.0,1087.0,0.0,"(124, 39)","[[(169, 268), 7], [(136, 233), 12], [(136, 233), 13], [(93, 220), 14], [(212, 285), 16], [(116, 253), 19], [(82, 193), 20], [(141, 164), 21]]"
0,5,52.0,1057.0,0.0,"(193, 154)",[]
0,6,51.0,1034.0,0.0,"(145, 187)","[[(141, 164), 9], [(136, 233), 13], [(136, 233), 14], [(69, 68), 18], [(212, 285), 22], [(48, 184), 23], [(93, 220), 24], [(141, 164), 25], [(141, 164), 32]]"
0,7,53.0,1063.0,0.0,"(223, 293)","[[(212, 285), 9], [(169, 268), 15]]"
0,8,51.0,1032.0,0.0,"(138, 157)","[[(212, 285), 20]]"
0,9,53.0,1073.0,0.0,"(113, 73)","[[(136, 233), 9], [(116, 253), 10], [(188, 273), 13], [(212, 285), 16], [(244, 297), 17], [(165, 161), 19], [(244, 297), 20], [(177, 217), 21]]"
1,1,53.0,1093.0,53.48212999999999,"(42, 222)","[[(136, 233), 8], [(136, 233), 11], [(69, 68), 13], [(93, 220), 19]]"
1,2,51.0,1072.0,53.25571999999998,"(192, 283)","[[(212, 285), 13], [(141, 164), 15], [(82, 193), 23], [(141, 164), 26], [(82, 193), 31], [(177, 217), 33]]"
1,3,53.0,1023.0,49.400000000000006,"(148, 264)",[]
1,4,53.0,1109.0,28.0,"(124, 39)","[[(169, 268), 7], [(136, 233), 12], [(136, 233), 13], [(93, 220), 14], [(212, 285), 16], [(116, 253), 19], [(82, 193), 20], [(141, 164), 21]]"
1,5,52.0,1089.0,34.99999999999999,"(193, 154)",[]
1,6,56.0,1059.0,47.5,"(145, 187)","[[(141, 164), 9], [(136, 233), 13], [(136, 233), 14], [(69, 68), 18], [(212, 285), 22], [(48, 184), 23], [(93, 220), 24], [(141, 164), 25], [(141, 164), 32]]"
1,7,53.0,1103.0,51.655730000000005,"(223, 293)","[[(212, 285), 9], [(169, 268), 15]]"
