Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,51.0,1025.0,0.0,"(179, 152)","[[(131, 175), 20], [(33, 207), 30], [(139, 276), 32], [(196, 279), 33], [(254, 291), 35], [(92, 174), 36], [(131, 175), 44], [(171, 274), 45], [(55, 160), 47], [(55, 160), 48], [(171, 274), 49], [(92, 174), 50], [(172, 211), 52], [(120, 109), 53], [(55, 160), 54], [(84, 193), 55], [(92, 174), 58], [(224, 260), 59], [(136, 201), 60], [(131, 175), 61], [(131, 175), 62], [(72, 146), 63], [(68, 225), 64], [(120, 109), 67], [(157, 207), 68], [(68, 225), 72], [(196, 279), 73]]"
0,2,53.0,1069.0,0.0,"(21, 195)",[]
0,3,54.0,1085.0,0.0,"(119, 82)","[[(68, 225), 18], [(254, 291), 21], [(157, 207), 25]]"
0,4,53.0,1066.0,0.0,"(148, 223)","[[(254, 291), 25], [(254, 291), 33], [(139, 276), 37], [(92, 174), 38], [(92, 174), 55], [(92, 174), 56], [(92, 174), 57], [(120, 109), 58], [(172, 211), 59], [(224, 260), 60], [(136, 201), 61], [(131, 175), 62], [(172, 211), 64], [(120, 109), 65], [(139, 276), 66], [(83, 78), 67], [(254, 291), 68], [(84, 193), 70], [(198, 248), 71], [(224, 260), 73], [(33, 207), 74]]"
0,5,53.0,1060.0,0.0,"(67, 125)",[]
0,6,47.0,957.0,0.0,"(64, 149)",[]
0,7,50.0,1019.0,0.0,"(165, 215)","[[(157, 207), 20], [(157, 207), 22], [(157, 207), 23], [(68, 225), 24], [(157, 207), 26], [(68, 225), 33], [(171, 274), 43], [(68, 225), 45], [(92, 174), 47], [(139, 276), 49], [(196, 279), 54], [(136, 201), 55], [(172, 211), 57], [(120, 109), 60], [(55, 106), 61], [(139, 276), 63], [(94, 51), 64], [(121, 228), 65], [(121, 228), 66], [(55, 160), 67], [(68, 225), 68], [(131, 175), 69], [(196, 279), 70], [(68, 225), 71], [(158, 151), 72], [(68, 225), 73]]"
0,8,50.0,1012.0,0.0,"(26, 213)","[[(157, 207), 22], [(92, 174), 38], [(33, 207), 41], [(121, 228), 56], [(139, 276), 57], [(254, 291), 60], [(254, 291), 61], [(139, 276), 62], [(120, 109), 64], [(55, 106), 65], [(131, 175), 66], [(115, 145), 67], [(121, 228), 69], [(172, 211), 70], [(172, 211), 71], [(120, 109), 72], [(115, 145), 73]]"
0,9,52.0,1059.0,0.0,"(76, 114)",[]
1,1,51.0,1057.0,48.41484842519975,"(179, 152)","[[(131, 175), 20], [(33, 207), 30], [(139, 276), 32], [(196, 279), 33], [(254, 291), 35], [(92, 174), 36], [(131, 175), 44], [(171, 274), 45], [(55, 160), 47], [(55, 160), 48], [(171, 274), 49], [(92, 174), 50], [(172, 211), 52], [(120, 109), 53], [(55, 160), 54], [(84, 193), 55], [(92, 174), 58], [(224, 260), 59], [(136, 201), 60], [(131, 175), 61], [(131, 175), 62], [(72, 146), 63], [(68, 225), 64], [(120, 109), 67], [(157, 207), 68], [(68, 225), 72], [(196, 279), 73]]"
1,2,55.0,1013.0,45.599999999999994,"(21, 195)",[]
1,3,54.0,1041.0,35.79999999999998,"(119, 82)","[[(68, 225), 18], [(254, 291), 21], [(157, 207), 25]]"
1,4,49.0,1091.0,50.88453000000001,"(148, 223)","[[(254, 291), 25], [(254, 291), 33], [(139, 276), 37], [(92, 174), 38], [(92, 174), 55], [(92, 174), 56], [(92, 174), 57], [(120, 109), 58], [(172, 211), 59], [(224, 260), 60], [(136, 201), 61], [(131, 175), 62], [(172, 211), 64], [(120, 109), 65], [(139, 276), 66], [(83, 78), 67], [(254, 291), 68], [(84, 193), 70], [(198, 248), 71], [(224, 260), 73], [(33, 207), 74]]"
1,5,53.0,1098.0,45.599999999999994,"(67, 125)",[]
1,6,42.0,980.0,54.197943034435816,"(64, 149)",[]
1,7,50.0,1054.0,43.599999999999994,"(165, 215)","[[(157, 207), 20], [(157, 207), 22], [(157, 207), 23], [(68, 225), 24], [(157, 207), 26], [(68, 225), 33], [(171, 274), 43], [(68, 225), 45], [(92, 174), 47], [(139, 276), 49], [(196, 279), 54], [(136, 201), 55], [(172, 211), 57], [(120, 109), 60], [(55, 106), 61], [(139, 276), 63], [(94, 51), 64], [(121, 228), 65], [(121, 228), 66], [(55, 160), 67], [(68, 225), 68], [(131, 175), 69], [(196, 279), 70], [(68, 225), 71], [(158, 151), 72], [(68, 225), 73]]"
1,8,50.0,1044.0,50.729569999999995,"(26, 213)","[[(157, 207), 22], [(92, 174), 38], [(33, 207), 41], [(121, 228), 56], [(139, 276), 57], [(254, 291), 60], [(254, 291), 61], [(139, 276), 62], [(120, 109), 64], [(55, 106), 65], [(131, 175), 66], [(115, 145), 67], [(121, 228), 69], [(172, 211), 70], [(172, 211), 71], [(120, 109), 72], [(115, 145), 73]]"
1,9,52.0,1098.0,56.01545209294484,"(76, 114)",[]
2,1,50.0,953.0,70.0221592129334,"(120, 231)","[[(131, 175), 20], [(33, 207), 30], [(139, 276), 32], [(196, 279), 33], [(254, 291), 35], [(92, 174), 36], [(131, 175), 44], [(171, 274), 45], [(55, 160), 47], [(55, 160), 48], [(171, 274), 49], [(92, 174), 50], [(172, 211), 52], [(120, 109), 53], [(55, 160), 54], [(84, 193), 55], [(92, 174), 58], [(224, 260), 59], [(136, 201), 60], [(131, 175), 61], [(131, 175), 62], [(72, 146), 63], [(68, 225), 64], [(120, 109), 67], [(157, 207), 68], [(68, 225), 72], [(196, 279), 73]]"
2,2,55.0,821.0,54.54647679999999,"(49, 217)",[]
2,3,53.0,977.0,54.72517119999998,"(45, 192)","[[(68, 225), 18], [(254, 291), 21], [(157, 207), 25]]"
2,4,50.0,986.0,67.05268699021826,"(159, 96)","[[(254, 291), 25], [(254, 291), 33], [(139, 276), 37], [(92, 174), 38], [(92, 174), 55], [(92, 174), 56], [(92, 174), 57], [(120, 109), 58], [(172, 211), 59], [(224, 260), 60], [(136, 201), 61], [(131, 175), 62], [(172, 211), 64], [(120, 109), 65], [(139, 276), 66], [(83, 78), 67], [(254, 291), 68], [(84, 193), 70], [(198, 248), 71], [(224, 260), 73], [(33, 207), 74]]"
2,5,53.0,914.0,55.8047828,"(195, 156)",[]
2,6,46.0,1008.0,85.79763359209515,"(186, 283)",[]
2,7,47.0,1054.0,62.38155679999999,"(185, 156)","[[(157, 207), 20], [(157, 207), 22], [(157, 207), 23], [(68, 225), 24], [(157, 207), 26], [(68, 225), 33], [(171, 274), 43], [(68, 225), 45], [(92, 174), 47], [(139, 276), 49], [(196, 279), 54], [(136, 201), 55], [(172, 211), 57], [(120, 109), 60], [(55, 106), 61], [(139, 276), 63], [(94, 51), 64], [(121, 228), 65], [(121, 228), 66], [(55, 160), 67], [(68, 225), 68], [(131, 175), 69], [(196, 279), 70], [(68, 225), 71], [(158, 151), 72], [(68, 225), 73]]"
2,8,47.0,1058.0,75.26292690259419,"(155, 136)","[[(157, 207), 22], [(92, 174), 38], [(33, 207), 41], [(121, 228), 56], [(139, 276), 57], [(254, 291), 60], [(254, 291), 61], [(139, 276), 62], [(120, 109), 64], [(55, 106), 65], [(131, 175), 66], [(115, 145), 67], [(121, 228), 69], [(172, 211), 70], [(172, 211), 71], [(120, 109), 72], [(115, 145), 73]]"
2,9,46.0,1032.0,67.61799916505201,"(96, 58)",[]
3,1,49.0,970.0,72.42105796443202,"(98, 247)","[[(131, 175), 20], [(33, 207), 30], [(139, 276), 32], [(196, 279), 33], [(254, 291), 35], [(92, 174), 36], [(131, 175), 44], [(171, 274), 45], [(55, 160), 47], [(55, 160), 48], [(171, 274), 49], [(92, 174), 50], [(172, 211), 52], [(120, 109), 53], [(55, 160), 54], [(84, 193), 55], [(92, 174), 58], [(224, 260), 59], [(136, 201), 60], [(131, 175), 61], [(131, 175), 62], [(72, 146), 63], [(68, 225), 64], [(120, 109), 67], [(157, 207), 68], [(68, 225), 72], [(196, 279), 73]]"
3,2,60.0,839.0,20.58253375999999,"(80, 97)",[]
3,3,50.0,997.0,65.6299527218141,"(145, 281)","[[(68, 225), 18], [(254, 291), 21], [(157, 207), 25]]"
3,4,55.0,1006.0,81.73091186721933,"(127, 152)","[[(254, 291), 25], [(254, 291), 33], [(139, 276), 37], [(92, 174), 38], [(92, 174), 55], [(92, 174), 56], [(92, 174), 57], [(120, 109), 58], [(172, 211), 59], [(224, 260), 60], [(136, 201), 61], [(131, 175), 62], [(172, 211), 64], [(120, 109), 65], [(139, 276), 66], [(83, 78), 67], [(254, 291), 68], [(84, 193), 70], [(198, 248), 71], [(224, 260), 73], [(33, 207), 74]]"
