Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,49.0,993.0,0.0,"(153, 93)","[[(92, 199), 20], [(114, 233), 21], [(92, 199), 22], [(110, 97), 24], [(248, 243), 26], [(119, 161), 28], [(114, 233), 33], [(119, 161), 36], [(49, 192), 39], [(51, 154), 40], [(177, 256), 41]]"
0,2,50.0,1012.0,0.0,"(193, 258)","[[(92, 199), 9]]"
0,3,51.0,1029.0,0.0,"(186, 283)","[[(114, 233), 11], [(92, 199), 25], [(200, 289), 27], [(110, 97), 35], [(110, 97), 36], [(114, 233), 37], [(92, 199), 38], [(248, 243), 40], [(114, 233), 42], [(110, 97), 51], [(177, 256), 52], [(51, 154), 53], [(49, 192), 58], [(49, 192), 62], [(159, 162), 65], [(119, 161), 66], [(49, 192), 68], [(51, 154), 70], [(159, 162), 71]]"
0,4,46.0,928.0,0.0,"(151, 255)","[[(114, 233), 10], [(114, 233), 14], [(92, 199), 22], [(92, 199), 28], [(200, 289), 32], [(114, 233), 40], [(200, 289), 41], [(114, 233), 45], [(114, 233), 46], [(114, 233), 47], [(177, 256), 48], [(114, 233), 49], [(110, 97), 50], [(49, 192), 52], [(177, 256), 61], [(182, 236), 66]]"
0,5,54.0,1087.0,0.0,"(175, 287)",[]
0,6,52.0,1052.0,0.0,"(105, 21)","[[(92, 199), 8], [(200, 289), 9]]"
0,7,54.0,1093.0,0.0,"(185, 160)","[[(114, 233), 9]]"
0,8,52.0,1057.0,0.0,"(86, 174)","[[(114, 233), 8], [(200, 289), 10]]"
0,9,52.0,1054.0,0.0,"(119, 145)",[]
1,1,49.0,1021.0,41.39999999999999,"(153, 93)","[[(92, 199), 20], [(114, 233), 21], [(92, 199), 22], [(110, 97), 24], [(248, 243), 26], [(119, 161), 28], [(114, 233), 33], [(119, 161), 36], [(49, 192), 39], [(51, 154), 40], [(177, 256), 41]]"
1,2,50.0,1033.0,51.03925,"(193, 258)","[[(92, 199), 9]]"
1,3,51.0,1000.0,50.0,"(186, 283)","[[(114, 233), 11], [(92, 199), 25], [(200, 289), 27], [(110, 97), 35], [(110, 97), 36], [(114, 233), 37], [(92, 199), 38], [(248, 243), 40], [(114, 233), 42], [(110, 97), 51], [(177, 256), 52], [(51, 154), 53], [(49, 192), 58], [(49, 192), 62], [(159, 162), 65], [(119, 161), 66], [(49, 192), 68], [(51, 154), 70], [(159, 162), 71]]"
1,4,46.0,959.0,49.69999999999999,"(151, 255)","[[(114, 233), 10], [(114, 233), 14], [(92, 199), 22], [(92, 199), 28], [(200, 289), 32], [(114, 233), 40], [(200, 289), 41], [(114, 233), 45], [(114, 233), 46], [(114, 233), 47], [(177, 256), 48], [(114, 233), 49], [(110, 97), 50], [(49, 192), 52], [(177, 256), 61], [(182, 236), 66]]"
1,5,54.0,1117.0,54.00831999999999,"(175, 287)",[]
1,6,52.0,1052.0,34.50000000000001,"(105, 21)","[[(92, 199), 8], [(200, 289), 9]]"
1,7,54.0,1113.0,38.900000000000006,"(185, 160)","[[(114, 233), 9]]"
1,8,52.0,1086.0,49.0,"(86, 174)","[[(114, 233), 8], [(200, 289), 10]]"
1,9,56.0,1094.0,54.38237,"(119, 145)",[]
2,1,48.0,1056.0,72.98143879999999,"(100, 211)","[[(92, 199), 20], [(114, 233), 21], [(92, 199), 22], [(110, 97), 24], [(248, 243), 26], [(119, 161), 28], [(114, 233), 33], [(119, 161), 36], [(49, 192), 39], [(51, 154), 40], [(177, 256), 41]]"
2,2,47.0,1053.0,77.07573677022165,"(68, 184)","[[(92, 199), 9]]"
