Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,49.0,999.0,0.0,"(190, 225)","[[(92, 249), 12], [(57, 93), 21], [(179, 294), 23], [(151, 265), 31]]"
0,2,57.0,1151.0,0.0,"(171, 296)",[]
0,3,52.0,1052.0,0.0,"(32, 179)","[[(179, 294), 9], [(69, 68), 11], [(151, 265), 13], [(89, 183), 14]]"
0,4,49.0,998.0,0.0,"(152, 105)","[[(89, 183), 13], [(92, 249), 14]]"
0,5,56.0,1125.0,0.0,"(113, 124)",[]
0,6,54.0,1096.0,0.0,"(175, 162)","[[(89, 183), 14]]"
0,7,54.0,1088.0,0.0,"(138, 201)","[[(179, 294), 7], [(72, 146), 11], [(154, 125), 12], [(92, 249), 13]]"
0,8,51.0,1021.0,0.0,"(49, 220)","[[(179, 294), 14], [(89, 183), 16], [(89, 183), 18], [(196, 271), 31], [(196, 271), 32], [(151, 265), 34]]"
0,9,52.0,1041.0,0.0,"(62, 215)","[[(151, 265), 14], [(92, 249), 19], [(69, 68), 21], [(151, 265), 22], [(89, 183), 29], [(151, 265), 32], [(92, 249), 38], [(196, 271), 50], [(196, 271), 51], [(196, 271), 52], [(124, 197), 59], [(196, 271), 62], [(124, 197), 67]]"
1,1,49.0,1030.0,47.5,"(190, 225)","[[(92, 249), 12], [(57, 93), 21], [(179, 294), 23], [(151, 265), 31]]"
1,2,57.0,1058.0,50.0,"(171, 296)",[]
1,3,52.0,1052.0,48.53493000000001,"(32, 179)","[[(179, 294), 9], [(69, 68), 11], [(151, 265), 13], [(89, 183), 14]]"
1,4,52.0,1012.0,43.10000000000001,"(152, 105)","[[(89, 183), 13], [(92, 249), 14]]"
1,5,56.0,1141.0,48.61412000000001,"(113, 124)",[]
1,6,54.0,1120.0,41.8,"(175, 162)","[[(89, 183), 14]]"
1,7,54.0,1116.0,45.7,"(138, 201)","[[(179, 294), 7], [(72, 146), 11], [(154, 125), 12], [(92, 249), 13]]"
1,8,47.0,1021.0,47.699999999999996,"(49, 220)","[[(179, 294), 14], [(89, 183), 16], [(89, 183), 18], [(196, 271), 31], [(196, 271), 32], [(151, 265), 34]]"
1,9,56.0,1059.0,54.30767999999999,"(62, 215)","[[(151, 265), 14], [(92, 249), 19], [(69, 68), 21], [(151, 265), 22], [(89, 183), 29], [(151, 265), 32], [(92, 249), 38], [(196, 271), 50], [(196, 271), 51], [(196, 271), 52], [(124, 197), 59], [(196, 271), 62], [(124, 197), 67]]"
2,1,48.0,1061.0,76.21731249999999,"(181, 230)","[[(92, 249), 12], [(57, 93), 21], [(179, 294), 23], [(151, 265), 31]]"
2,2,56.0,1087.0,61.13532999999999,"(90, 72)",[]
2,3,47.0,1076.0,78.85352072703651,"(159, 273)","[[(179, 294), 9], [(69, 68), 11], [(151, 265), 13], [(89, 183), 14]]"
2,4,51.0,1047.0,73.76227509795285,"(247, 284)","[[(89, 183), 13], [(92, 249), 14]]"
2,5,55.0,1073.0,71.19019611523964,"(169, 147)",[]
2,6,53.0,1135.0,78.10198526227761,"(28, 214)","[[(89, 183), 14]]"
2,7,58.0,1149.0,63.641319700000004,"(195, 207)","[[(179, 294), 7], [(72, 146), 11], [(154, 125), 12], [(92, 249), 13]]"
2,8,51.0,1049.0,80.8853877,"(141, 244)","[[(179, 294), 14], [(89, 183), 16], [(89, 183), 18], [(196, 271), 31], [(196, 271), 32], [(151, 265), 34]]"
2,9,55.0,1087.0,66.08845911153587,"(211, 289)","[[(151, 265), 14], [(92, 249), 19], [(69, 68), 21], [(151, 265), 22], [(89, 183), 29], [(151, 265), 32], [(92, 249), 38], [(196, 271), 50], [(196, 271), 51], [(196, 271), 52], [(124, 197), 59], [(196, 271), 62], [(124, 197), 67]]"
