Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,49.0,983.0,0.0,"(130, 117)","[[(166, 110), 11], [(139, 201), 14], [(92, 122), 15], [(57, 92), 17], [(77, 124), 18], [(72, 169), 19], [(118, 243), 20], [(118, 243), 21], [(118, 243), 22]]"
0,2,52.0,1046.0,0.0,"(71, 218)","[[(152, 287), 16], [(183, 230), 17], [(245, 286), 19], [(139, 201), 20], [(118, 243), 21], [(92, 122), 22], [(181, 282), 23]]"
0,3,52.0,1059.0,0.0,"(89, 33)","[[(175, 307), 6], [(57, 92), 9], [(139, 201), 10]]"
0,4,50.0,1019.0,0.0,"(221, 282)",[]
0,5,54.0,1097.0,0.0,"(102, 239)","[[(152, 287), 13], [(178, 142), 17], [(45, 144), 18], [(45, 144), 19], [(185, 256), 21], [(57, 92), 22], [(72, 169), 23], [(82, 203), 24], [(125, 128), 26]]"
0,6,51.0,1036.0,0.0,"(91, 136)","[[(118, 243), 14], [(147, 140), 17], [(92, 122), 18], [(53, 206), 19], [(67, 233), 21], [(190, 151), 22], [(139, 201), 23]]"
0,7,53.0,1066.0,0.0,"(54, 168)","[[(185, 256), 8]]"
0,8,52.0,1042.0,0.0,"(147, 280)","[[(77, 124), 8], [(185, 256), 11], [(139, 201), 15], [(125, 128), 16], [(181, 282), 17], [(139, 201), 19], [(166, 110), 20], [(92, 122), 21], [(77, 124), 22], [(53, 206), 23], [(185, 256), 29], [(183, 230), 30], [(82, 203), 36], [(53, 206), 37], [(82, 203), 39], [(139, 201), 40], [(45, 144), 41], [(185, 256), 43], [(118, 243), 44], [(118, 243), 49], [(85, 176), 50], [(139, 201), 51], [(72, 169), 52], [(109, 195), 53], [(188, 297), 56], [(98, 87), 60], [(98, 87), 61], [(53, 206), 62]]"
0,9,51.0,1031.0,0.0,"(40, 219)","[[(178, 142), 8], [(77, 124), 11], [(152, 287), 12], [(95, 171), 13], [(139, 201), 14], [(185, 256), 16], [(45, 144), 17], [(166, 110), 19], [(72, 169), 20], [(82, 203), 22], [(82, 203), 23]]"
1,1,54.0,1015.0,49.009170000000005,"(130, 117)","[[(166, 110), 11], [(139, 201), 14], [(92, 122), 15], [(57, 92), 17], [(77, 124), 18], [(72, 169), 19], [(118, 243), 20], [(118, 243), 21], [(118, 243), 22]]"
1,2,52.0,1080.0,50.652,"(71, 218)","[[(152, 287), 16], [(183, 230), 17], [(245, 286), 19], [(139, 201), 20], [(118, 243), 21], [(92, 122), 22], [(181, 282), 23]]"
1,3,52.0,1098.0,48.61412000000001,"(89, 33)","[[(175, 307), 6], [(57, 92), 9], [(139, 201), 10]]"
1,4,53.0,1053.0,54.457,"(221, 282)",[]
1,5,54.0,1064.0,50.0,"(102, 239)","[[(152, 287), 13], [(178, 142), 17], [(45, 144), 18], [(45, 144), 19], [(185, 256), 21], [(57, 92), 22], [(72, 169), 23], [(82, 203), 24], [(125, 128), 26]]"
