Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,54.0,1090.0,0.0,"(158, 131)","[[(119, 158), 11], [(119, 158), 15]]"
0,2,51.0,1033.0,0.0,"(205, 210)","[[(73, 68), 10], [(113, 98), 11], [(120, 119), 13], [(120, 119), 22], [(169, 255), 27], [(97, 56), 31], [(84, 211), 33], [(179, 277), 35], [(120, 119), 37], [(36, 184), 38], [(164, 208), 39], [(119, 158), 40], [(179, 277), 41], [(169, 255), 42], [(125, 259), 43], [(97, 56), 44], [(172, 150), 45], [(69, 26), 46], [(114, 233), 47], [(114, 233), 48], [(97, 56), 49]]"
0,3,51.0,1033.0,0.0,"(107, 64)","[[(73, 68), 8]]"
0,4,52.0,1056.0,0.0,"(105, 152)","[[(119, 158), 7], [(119, 158), 8], [(243, 271), 13], [(243, 271), 22], [(120, 119), 23], [(243, 271), 35], [(169, 255), 36], [(169, 255), 37], [(179, 277), 40], [(73, 158), 43], [(144, 212), 44], [(169, 255), 46], [(73, 158), 47], [(97, 56), 48], [(243, 271), 49], [(172, 150), 50], [(97, 56), 51], [(197, 274), 52], [(119, 158), 53], [(150, 261), 54]]"
0,5,50.0,1001.0,0.0,"(138, 110)",[]
0,6,52.0,1045.0,0.0,"(181, 288)","[[(73, 68), 23], [(243, 271), 27], [(119, 158), 29], [(97, 56), 32], [(169, 255), 35], [(169, 255), 37], [(119, 158), 39], [(113, 98), 42], [(36, 184), 44], [(165, 101), 45], [(73, 68), 46], [(172, 150), 47], [(119, 158), 48], [(114, 233), 49], [(92, 183), 50], [(149, 140), 51], [(53, 111), 52], [(169, 255), 53], [(169, 255), 54], [(197, 274), 55], [(84, 211), 56]]"
0,7,53.0,1063.0,0.0,"(76, 105)",[]
0,8,54.0,1095.0,0.0,"(128, 186)",[]
0,9,53.0,1064.0,0.0,"(121, 162)","[[(119, 158), 10], [(73, 68), 13], [(119, 158), 14], [(73, 68), 18], [(119, 158), 21], [(119, 158), 22], [(113, 98), 23], [(243, 271), 29], [(120, 119), 31], [(169, 255), 35], [(43, 161), 40], [(84, 211), 44], [(197, 274), 45], [(97, 56), 46], [(59, 122), 47], [(144, 212), 48], [(43, 161), 49]]"
1,1,58.0,987.0,42.3,"(158, 131)","[[(119, 158), 11], [(119, 158), 15]]"
1,2,51.0,1033.0,15.199999999999996,"(205, 210)","[[(73, 68), 10], [(113, 98), 11], [(120, 119), 13], [(120, 119), 22], [(169, 255), 27], [(97, 56), 31], [(84, 211), 33], [(179, 277), 35], [(120, 119), 37], [(36, 184), 38], [(164, 208), 39], [(119, 158), 40], [(179, 277), 41], [(169, 255), 42], [(125, 259), 43], [(97, 56), 44], [(172, 150), 45], [(69, 26), 46], [(114, 233), 47], [(114, 233), 48], [(97, 56), 49]]"
1,3,51.0,981.0,29.79999999999999,"(107, 64)","[[(73, 68), 8]]"
1,4,52.0,1056.0,49.582050088775816,"(105, 152)","[[(119, 158), 7], [(119, 158), 8], [(243, 271), 13], [(243, 271), 22], [(120, 119), 23], [(243, 271), 35], [(169, 255), 36], [(169, 255), 37], [(179, 277), 40], [(73, 158), 43], [(144, 212), 44], [(169, 255), 46], [(73, 158), 47], [(97, 56), 48], [(243, 271), 49], [(172, 150), 50], [(97, 56), 51], [(197, 274), 52], [(119, 158), 53], [(150, 261), 54]]"
1,5,50.0,928.0,42.0,"(138, 110)",[]
1,6,53.0,1074.0,56.668,"(181, 288)","[[(73, 68), 23], [(243, 271), 27], [(119, 158), 29], [(97, 56), 32], [(169, 255), 35], [(169, 255), 37], [(119, 158), 39], [(113, 98), 42], [(36, 184), 44], [(165, 101), 45], [(73, 68), 46], [(172, 150), 47], [(119, 158), 48], [(114, 233), 49], [(92, 183), 50], [(149, 140), 51], [(53, 111), 52], [(169, 255), 53], [(169, 255), 54], [(197, 274), 55], [(84, 211), 56]]"
1,7,53.0,1063.0,42.10000000000001,"(76, 105)",[]
1,8,54.0,1109.0,52.02387875472817,"(128, 186)",[]
1,9,53.0,1064.0,52.02532425103504,"(121, 162)","[[(119, 158), 10], [(73, 68), 13], [(119, 158), 14], [(73, 68), 18], [(119, 158), 21], [(119, 158), 22], [(113, 98), 23], [(243, 271), 29], [(120, 119), 31], [(169, 255), 35], [(43, 161), 40], [(84, 211), 44], [(197, 274), 45], [(97, 56), 46], [(59, 122), 47], [(144, 212), 48], [(43, 161), 49]]"
2,1,57.0,1009.0,41.109999999999985,"(56, 169)","[[(119, 158), 11], [(119, 158), 15]]"
