Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,47.0,940.0,0.0,"(100, 188)","[[(156, 261), 10]]"
0,2,53.0,1068.0,0.0,"(79, 47)","[[(158, 186), 6], [(60, 206), 10], [(117, 247), 12], [(82, 154), 13]]"
0,3,51.0,1028.0,0.0,"(222, 278)","[[(157, 164), 9], [(168, 206), 11], [(60, 206), 12], [(70, 119), 21], [(82, 154), 22], [(70, 119), 24], [(168, 206), 27], [(82, 154), 29], [(156, 261), 31], [(168, 206), 32], [(84, 193), 34], [(117, 247), 35], [(60, 206), 36], [(84, 242), 37], [(168, 206), 38]]"
0,4,49.0,984.0,0.0,"(77, 112)","[[(183, 264), 9], [(60, 206), 12], [(117, 247), 14], [(156, 261), 20], [(82, 154), 23], [(117, 247), 25], [(70, 119), 28], [(156, 261), 29], [(82, 154), 32], [(156, 261), 34]]"
0,5,54.0,1091.0,0.0,"(87, 132)","[[(183, 264), 4], [(156, 261), 6], [(183, 264), 9]]"
0,6,50.0,1000.0,0.0,"(173, 221)",[]
0,7,51.0,1027.0,0.0,"(119, 101)","[[(157, 164), 12], [(156, 261), 14], [(60, 206), 15], [(70, 119), 34]]"
0,8,48.0,976.0,0.0,"(140, 145)","[[(183, 264), 9], [(156, 261), 13]]"
0,9,56.0,1121.0,0.0,"(127, 140)","[[(156, 261), 4], [(156, 261), 5], [(60, 206), 12]]"
1,1,47.0,968.0,47.73973,"(100, 188)","[[(156, 261), 10]]"
1,2,53.0,1097.0,48.999999999999986,"(79, 47)","[[(158, 186), 6], [(60, 206), 10], [(117, 247), 12], [(82, 154), 13]]"
1,3,51.0,1061.0,54.15812,"(222, 278)","[[(157, 164), 9], [(168, 206), 11], [(60, 206), 12], [(70, 119), 21], [(82, 154), 22], [(70, 119), 24], [(168, 206), 27], [(82, 154), 29], [(156, 261), 31], [(168, 206), 32], [(84, 193), 34], [(117, 247), 35], [(60, 206), 36], [(84, 242), 37], [(168, 206), 38]]"
1,4,47.0,1006.0,48.7,"(77, 112)","[[(183, 264), 9], [(60, 206), 12], [(117, 247), 14], [(156, 261), 20], [(82, 154), 23], [(117, 247), 25], [(70, 119), 28], [(156, 261), 29], [(82, 154), 32], [(156, 261), 34]]"
1,5,49.0,1128.0,49.7,"(87, 132)","[[(183, 264), 4], [(156, 261), 6], [(183, 264), 9]]"
1,6,50.0,1021.0,46.0,"(173, 221)",[]
1,7,50.0,1059.0,49.009170000000005,"(119, 101)","[[(157, 164), 12], [(156, 261), 14], [(60, 206), 15], [(70, 119), 34]]"
1,8,48.0,1002.0,51.57887999999999,"(140, 145)","[[(183, 264), 9], [(156, 261), 13]]"
1,9,51.0,1159.0,54.82925,"(127, 140)","[[(156, 261), 4], [(156, 261), 5], [(60, 206), 12]]"
2,1,47.0,989.0,69.42793500230484,"(76, 60)","[[(156, 261), 10]]"
2,2,57.0,1135.0,80.89028,"(42, 214)","[[(158, 186), 6], [(60, 206), 10], [(117, 247), 12], [(82, 154), 13]]"
