Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,53.0,1061.0,0.0,"(84, 166)","[[(243, 277), 9], [(35, 183), 10], [(243, 277), 12]]"
0,2,49.0,985.0,0.0,"(143, 280)","[[(117, 242), 7], [(137, 138), 9], [(137, 138), 11], [(117, 242), 12], [(190, 266), 13], [(190, 266), 18], [(190, 266), 19], [(117, 242), 21], [(63, 152), 22], [(35, 183), 23], [(243, 277), 26], [(190, 266), 27], [(34, 157), 31], [(137, 138), 33], [(117, 242), 34], [(88, 212), 35], [(88, 212), 36], [(117, 242), 41], [(35, 183), 42], [(119, 94), 43], [(137, 138), 45], [(114, 133), 47]]"
0,3,49.0,986.0,0.0,"(98, 143)","[[(243, 277), 10], [(111, 264), 11], [(161, 100), 12]]"
0,4,48.0,972.0,0.0,"(116, 99)","[[(35, 183), 17], [(190, 266), 18], [(190, 266), 22], [(190, 266), 27], [(137, 138), 28], [(63, 152), 31], [(243, 277), 36], [(63, 152), 44], [(243, 277), 45], [(88, 212), 46], [(72, 21), 50], [(154, 218), 51], [(169, 269), 53], [(137, 138), 55], [(54, 106), 56], [(72, 21), 57], [(154, 218), 58], [(63, 152), 60], [(35, 183), 61], [(65, 217), 62]]"
0,5,46.0,935.0,0.0,"(127, 254)","[[(117, 242), 13], [(161, 100), 16], [(190, 266), 18], [(243, 277), 22], [(137, 138), 23], [(117, 242), 24], [(137, 138), 26], [(137, 138), 31], [(63, 152), 32], [(78, 63), 33], [(117, 242), 35], [(88, 212), 36], [(63, 152), 37], [(117, 242), 38], [(63, 152), 40], [(190, 266), 41], [(105, 221), 43], [(119, 94), 44], [(63, 152), 45], [(72, 21), 46], [(54, 106), 47], [(190, 266), 49], [(169, 269), 50], [(169, 159), 51], [(180, 306), 52], [(107, 173), 53]]"
0,6,49.0,990.0,0.0,"(176, 282)",[]
0,7,51.0,1020.0,0.0,"(162, 113)","[[(134, 186), 7], [(111, 264), 9], [(161, 100), 11], [(161, 100), 12]]"
0,8,49.0,990.0,0.0,"(38, 202)","[[(134, 186), 12]]"
0,9,52.0,1044.0,0.0,"(61, 117)","[[(243, 277), 11]]"
1,1,53.0,1085.0,50.72957000000001,"(84, 166)","[[(243, 277), 9], [(35, 183), 10], [(243, 277), 12]]"
