Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,52.0,1048.0,0.0,"(114, 161)","[[(165, 122), 21], [(91, 33), 24], [(167, 213), 25], [(72, 80), 26], [(236, 282), 27], [(138, 141), 28], [(199, 233), 32], [(152, 269), 33], [(35, 169), 35], [(91, 33), 37], [(236, 282), 38], [(138, 141), 39], [(152, 269), 40], [(148, 248), 43], [(183, 279), 45], [(140, 165), 50], [(148, 248), 51], [(140, 165), 54], [(64, 125), 55], [(165, 122), 56], [(152, 269), 57], [(111, 233), 60], [(110, 258), 61], [(35, 169), 62], [(64, 125), 63], [(148, 248), 64], [(152, 269), 65], [(72, 80), 66], [(152, 269), 67], [(111, 233), 68], [(38, 213), 69], [(72, 80), 71], [(72, 80), 72], [(152, 269), 73], [(72, 80), 74]]"
0,2,54.0,1085.0,0.0,"(169, 254)","[[(149, 285), 7], [(134, 119), 9], [(128, 187), 19], [(35, 169), 22], [(165, 122), 25], [(165, 122), 27], [(152, 269), 30], [(152, 269), 32], [(199, 233), 33], [(152, 269), 34], [(91, 33), 37], [(91, 33), 38], [(61, 213), 39], [(91, 33), 40], [(140, 165), 44], [(199, 233), 45], [(72, 80), 46], [(165, 122), 50], [(236, 282), 51], [(61, 213), 53], [(138, 141), 54], [(148, 248), 55], [(167, 213), 56], [(61, 213), 58], [(91, 33), 60], [(138, 141), 61], [(199, 233), 62], [(86, 152), 63], [(64, 172), 64], [(35, 169), 65], [(111, 233), 66], [(167, 213), 67], [(115, 158), 68], [(152, 269), 69], [(90, 175), 70], [(199, 233), 71], [(72, 80), 72], [(90, 175), 73], [(128, 187), 74]]"
0,3,54.0,1094.0,0.0,"(149, 251)","[[(134, 119), 17], [(61, 213), 19], [(183, 279), 20], [(138, 141), 23], [(86, 152), 24], [(61, 213), 25], [(61, 213), 26]]"
0,4,50.0,1014.0,0.0,"(169, 255)","[[(149, 285), 8], [(152, 269), 12], [(152, 269), 15], [(199, 233), 16], [(236, 282), 18], [(138, 141), 21], [(183, 279), 22], [(91, 33), 23], [(86, 152), 25], [(167, 213), 26], [(61, 213), 27], [(199, 233), 28], [(167, 213), 32], [(167, 213), 33], [(183, 279), 35], [(183, 279), 37], [(140, 165), 38], [(72, 80), 39], [(152, 269), 42], [(183, 279), 44], [(138, 141), 48], [(35, 169), 49], [(236, 282), 50], [(199, 233), 53], [(111, 233), 54], [(152, 269), 56], [(199, 233), 57], [(90, 175), 60], [(140, 165), 61], [(199, 233), 62], [(148, 248), 63], [(72, 80), 64], [(90, 175), 68], [(138, 141), 69], [(111, 233), 70], [(236, 282), 71], [(138, 141), 72], [(61, 213), 73], [(90, 175), 74]]"
0,5,54.0,1084.0,0.0,"(197, 203)","[[(167, 213), 16], [(134, 119), 17], [(236, 282), 19], [(35, 169), 20]]"
0,6,56.0,1135.0,0.0,"(160, 172)","[[(149, 285), 13], [(128, 187), 18]]"
0,7,55.0,1112.0,0.0,"(82, 93)","[[(152, 269), 7], [(72, 80), 17], [(236, 282), 19], [(167, 213), 20], [(183, 279), 21], [(91, 33), 22], [(199, 233), 23], [(152, 269), 24], [(86, 152), 25], [(236, 282), 26], [(140, 165), 27], [(35, 169), 28], [(167, 213), 29], [(72, 80), 32], [(138, 141), 33], [(148, 248), 34]]"
0,8,53.0,1062.0,0.0,"(247, 285)","[[(134, 119), 11], [(149, 285), 15], [(199, 233), 18], [(138, 141), 19], [(134, 119), 20]]"
0,9,46.0,926.0,0.0,"(141, 154)","[[(167, 213), 14], [(165, 122), 17], [(138, 141), 20], [(128, 187), 25]]"
1,1,52.0,1083.0,52.26837000000002,"(114, 161)","[[(165, 122), 21], [(91, 33), 24], [(167, 213), 25], [(72, 80), 26], [(236, 282), 27], [(138, 141), 28], [(199, 233), 32], [(152, 269), 33], [(35, 169), 35], [(91, 33), 37], [(236, 282), 38], [(138, 141), 39], [(152, 269), 40], [(148, 248), 43], [(183, 279), 45], [(140, 165), 50], [(148, 248), 51], [(140, 165), 54], [(64, 125), 55], [(165, 122), 56], [(152, 269), 57], [(111, 233), 60], [(110, 258), 61], [(35, 169), 62], [(64, 125), 63], [(148, 248), 64], [(152, 269), 65], [(72, 80), 66], [(152, 269), 67], [(111, 233), 68], [(38, 213), 69], [(72, 80), 71], [(72, 80), 72], [(152, 269), 73], [(72, 80), 74]]"
1,2,54.0,1115.0,52.80128,"(169, 254)","[[(149, 285), 7], [(134, 119), 9], [(128, 187), 19], [(35, 169), 22], [(165, 122), 25], [(165, 122), 27], [(152, 269), 30], [(152, 269), 32], [(199, 233), 33], [(152, 269), 34], [(91, 33), 37], [(91, 33), 38], [(61, 213), 39], [(91, 33), 40], [(140, 165), 44], [(199, 233), 45], [(72, 80), 46], [(165, 122), 50], [(236, 282), 51], [(61, 213), 53], [(138, 141), 54], [(148, 248), 55], [(167, 213), 56], [(61, 213), 58], [(91, 33), 60], [(138, 141), 61], [(199, 233), 62], [(86, 152), 63], [(64, 172), 64], [(35, 169), 65], [(111, 233), 66], [(167, 213), 67], [(115, 158), 68], [(152, 269), 69], [(90, 175), 70], [(199, 233), 71], [(72, 80), 72], [(90, 175), 73], [(128, 187), 74]]"
