Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,48.0,974.0,0.0,"(39, 150)",[]
0,2,54.0,1080.0,0.0,"(88, 146)",[]
0,3,49.0,983.0,0.0,"(115, 137)",[]
0,4,50.0,1008.0,0.0,"(161, 137)",[]
0,5,56.0,1120.0,0.0,"(99, 149)",[]
0,6,51.0,1022.0,0.0,"(64, 189)",[]
0,7,54.0,1090.0,0.0,"(77, 85)",[]
0,8,50.0,1016.0,0.0,"(143, 122)",[]
0,9,47.0,951.0,0.0,"(108, 249)",[]
1,1,46.0,912.0,40.19999999999999,"(39, 150)",[]
1,2,53.0,1110.0,56.156929999999996,"(88, 146)",[]
1,3,49.0,1020.0,51.80925,"(115, 137)",[]
1,4,51.0,1031.0,50.10733000000001,"(161, 137)",[]
1,5,56.0,1028.0,48.21757,"(99, 149)",[]
1,6,49.0,1055.0,49.009170000000005,"(64, 189)",[]
1,7,49.0,1124.0,39.099999999999994,"(77, 85)",[]
1,8,50.0,1045.0,51.73252,"(143, 122)",[]
1,9,47.0,987.0,48.400000000000006,"(108, 249)",[]
2,1,45.0,885.0,60.12124319999998,"(97, 215)",[]
2,2,57.0,1142.0,82.05175696367338,"(127, 212)",[]
2,3,48.0,1056.0,79.60922667619985,"(169, 258)",[]
2,4,50.0,1059.0,76.44782898939852,"(139, 145)",[]
2,5,55.0,974.0,57.718946154843785,"(120, 166)",[]
2,6,48.0,956.0,61.4840910131893,"(196, 159)",[]
2,7,48.0,1164.0,73.31680862973435,"(204, 154)",[]
2,8,49.0,1077.0,77.16605272324091,"(87, 236)",[]
2,9,46.0,1020.0,75.57731079999999,"(154, 166)",[]
3,1,44.0,908.0,71.69793459915905,"(25, 187)",[]
3,2,65.0,1182.0,86.00828506925767,"(118, 250)",[]
3,3,50.0,992.0,85.40770571282131,"(48, 150)",[]
3,4,49.0,1091.0,87.63836461129155,"(145, 272)",[]
3,5,52.0,932.0,49.64068696538861,"(77, 41)",[]
3,6,47.0,979.0,73.68167785577191,"(101, 33)",[]
3,7,52.0,1198.0,96.52147252960768,"(38, 190)",[]
3,8,57.0,1031.0,84.08539983785948,"(132, 95)",[]
3,9,50.0,961.0,84.52534155768109,"(174, 221)",[]
4,1,50.0,937.0,80.00762215047219,"(74, 48)",[]
4,2,64.0,1221.0,79.85264011252315,"(148, 221)",[]
4,3,49.0,1015.0,77.99672457905766,"(181, 252)",[]
4,4,51.0,997.0,90.18168821430694,"(138, 227)",[]
4,5,51.0,964.0,56.9213297607997,"(62, 184)",[]
4,6,46.0,979.0,67.72294380628472,"(106, 26)",[]
4,7,56.0,1129.0,95.54931807337351,"(35, 175)",[]
4,8,56.0,1058.0,71.80126528006336,"(184, 140)",[]
4,9,49.0,983.0,74.17532655940016,"(163, 224)",[]
5,1,49.0,957.0,74.53472740149184,"(123, 100)",[]
5,2,70.0,1259.0,84.16627043102042,"(195, 294)",[]
5,3,53.0,1053.0,80.44643596799061,"(189, 147)",[]
5,4,53.0,1033.0,85.10538097201385,"(166, 290)",[]
5,5,54.0,876.0,65.32858377732241,"(142, 142)",[]
5,6,50.0,947.0,80.74622567602509,"(172, 270)",[]
5,7,60.0,1170.0,83.57420708772452,"(204, 231)",[]
5,8,55.0,988.0,64.94633642681877,"(109, 87)",[]
5,9,57.0,1017.0,81.24227181714971,"(209, 247)",[]
