Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,49.0,994.0,0.0,"(151, 159)","[[(77, 159), 18], [(67, 201), 23], [(151, 229), 31], [(162, 180), 33], [(45, 208), 35], [(185, 265), 37], [(77, 144), 39], [(95, 186), 40], [(90, 211), 41]]"
0,2,52.0,1059.0,0.0,"(129, 234)","[[(77, 159), 9], [(77, 159), 12], [(95, 186), 14], [(77, 159), 17], [(151, 229), 20], [(39, 155), 21], [(151, 229), 22], [(158, 158), 26], [(185, 265), 27], [(204, 302), 28], [(90, 211), 29], [(151, 229), 30], [(187, 272), 31], [(151, 229), 33], [(162, 180), 38], [(77, 144), 40], [(90, 211), 41], [(105, 255), 42], [(105, 255), 43], [(71, 108), 44]]"
0,3,53.0,1062.0,0.0,"(172, 130)","[[(77, 159), 20], [(151, 229), 24], [(90, 211), 25], [(67, 201), 27], [(67, 201), 28], [(151, 229), 29], [(73, 59), 30], [(151, 229), 36], [(39, 155), 40], [(185, 265), 41], [(151, 229), 43], [(71, 108), 45]]"
0,4,49.0,991.0,0.0,"(128, 156)","[[(95, 186), 16], [(185, 265), 17], [(77, 159), 19], [(185, 265), 20], [(175, 279), 22], [(151, 229), 24], [(73, 59), 26], [(73, 59), 27], [(151, 229), 29], [(185, 265), 31], [(151, 229), 32], [(39, 155), 34], [(95, 186), 35], [(204, 302), 37], [(86, 107), 43], [(71, 108), 45]]"
0,5,50.0,1002.0,0.0,"(130, 222)","[[(175, 279), 7], [(241, 291), 10], [(175, 279), 12]]"
0,6,54.0,1099.0,0.0,"(219, 247)","[[(175, 279), 6], [(95, 186), 9], [(77, 159), 10], [(185, 265), 14], [(95, 186), 15], [(220, 257), 16], [(175, 279), 19]]"
0,7,51.0,1029.0,0.0,"(79, 231)","[[(175, 279), 10], [(185, 265), 18], [(185, 265), 20], [(185, 265), 21], [(139, 253), 22], [(175, 279), 23], [(86, 107), 24], [(95, 186), 27], [(185, 265), 28], [(95, 186), 30], [(95, 186), 31]]"
0,8,53.0,1065.0,0.0,"(207, 218)","[[(77, 159), 7]]"
0,9,52.0,1046.0,0.0,"(137, 156)","[[(175, 279), 10], [(151, 229), 15], [(90, 211), 18], [(162, 180), 20], [(73, 59), 21], [(175, 279), 23], [(73, 59), 25]]"
1,1,49.0,958.0,47.5,"(151, 159)","[[(77, 159), 18], [(67, 201), 23], [(151, 229), 31], [(162, 180), 33], [(45, 208), 35], [(185, 265), 37], [(77, 144), 39], [(95, 186), 40], [(90, 211), 41]]"
1,2,51.0,1096.0,56.37631999999999,"(129, 234)","[[(77, 159), 9], [(77, 159), 12], [(95, 186), 14], [(77, 159), 17], [(151, 229), 20], [(39, 155), 21], [(151, 229), 22], [(158, 158), 26], [(185, 265), 27], [(204, 302), 28], [(90, 211), 29], [(151, 229), 30], [(187, 272), 31], [(151, 229), 33], [(162, 180), 38], [(77, 144), 40], [(90, 211), 41], [(105, 255), 42], [(105, 255), 43], [(71, 108), 44]]"
1,3,50.0,1079.0,49.009170000000005,"(172, 130)","[[(77, 159), 20], [(151, 229), 24], [(90, 211), 25], [(67, 201), 27], [(67, 201), 28], [(151, 229), 29], [(73, 59), 30], [(151, 229), 36], [(39, 155), 40], [(185, 265), 41], [(151, 229), 43], [(71, 108), 45]]"
1,4,49.0,1018.0,51.88592,"(128, 156)","[[(95, 186), 16], [(185, 265), 17], [(77, 159), 19], [(185, 265), 20], [(175, 279), 22], [(151, 229), 24], [(73, 59), 26], [(73, 59), 27], [(151, 229), 29], [(185, 265), 31], [(151, 229), 32], [(39, 155), 34], [(95, 186), 35], [(204, 302), 37], [(86, 107), 43], [(71, 108), 45]]"
1,5,50.0,1036.0,48.455679999999994,"(130, 222)","[[(175, 279), 7], [(241, 291), 10], [(175, 279), 12]]"
1,6,57.0,1126.0,51.85758681288498,"(219, 247)","[[(175, 279), 6], [(95, 186), 9], [(77, 159), 10], [(185, 265), 14], [(95, 186), 15], [(220, 257), 16], [(175, 279), 19]]"
1,7,47.0,945.0,42.39999999999998,"(79, 231)","[[(175, 279), 10], [(185, 265), 18], [(185, 265), 20], [(185, 265), 21], [(139, 253), 22], [(175, 279), 23], [(86, 107), 24], [(95, 186), 27], [(185, 265), 28], [(95, 186), 30], [(95, 186), 31]]"
1,8,53.0,1097.0,32.7,"(207, 218)","[[(77, 159), 7]]"
1,9,55.0,1063.0,50.49668000000001,"(137, 156)","[[(175, 279), 10], [(151, 229), 15], [(90, 211), 18], [(162, 180), 20], [(73, 59), 21], [(175, 279), 23], [(73, 59), 25]]"
2,1,48.0,986.0,68.5826325,"(187, 250)","[[(77, 159), 18], [(67, 201), 23], [(151, 229), 31], [(162, 180), 33], [(45, 208), 35], [(185, 265), 37], [(77, 144), 39], [(95, 186), 40], [(90, 211), 41]]"
