Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,48.0,975.0,0.0,"(254, 256)",[]
0,2,51.0,1036.0,0.0,"(253, 281)","[[(113, 236), 13]]"
0,3,51.0,1027.0,0.0,"(96, 37)",[]
0,4,52.0,1052.0,0.0,"(105, 171)",[]
0,5,56.0,1121.0,0.0,"(114, 263)","[[(169, 215), 9], [(169, 215), 13]]"
0,6,53.0,1060.0,0.0,"(64, 104)","[[(85, 214), 45], [(113, 236), 51], [(72, 218), 56], [(113, 236), 65]]"
0,7,52.0,1045.0,0.0,"(74, 163)","[[(169, 215), 16], [(113, 236), 24], [(85, 214), 34]]"
0,8,52.0,1047.0,0.0,"(67, 105)",[]
0,9,48.0,975.0,0.0,"(141, 272)","[[(169, 215), 24]]"
1,1,48.0,1002.0,48.7526977036202,"(254, 256)",[]
1,2,51.0,946.0,47.5,"(253, 281)","[[(113, 236), 13]]"
1,3,46.0,1058.0,49.49999999999999,"(96, 37)",[]
1,4,54.0,1084.0,55.12597,"(105, 171)",[]
1,5,58.0,1158.0,52.87642434924456,"(114, 263)","[[(169, 215), 9], [(169, 215), 13]]"
1,6,55.0,1084.0,48.930279999999996,"(64, 104)","[[(85, 214), 45], [(113, 236), 51], [(72, 218), 56], [(113, 236), 65]]"
1,7,56.0,1079.0,46.400000000000006,"(74, 163)","[[(169, 215), 16], [(113, 236), 24], [(85, 214), 34]]"
1,8,52.0,1086.0,50.0,"(67, 105)",[]
1,9,51.0,911.0,46.19999999999999,"(141, 272)","[[(169, 215), 24]]"
2,1,47.0,1038.0,75.16100626657799,"(170, 143)",[]
2,2,54.0,879.0,56.33979250000001,"(153, 121)","[[(113, 236), 13]]"
2,3,49.0,1097.0,84.2346925,"(171, 159)",[]
2,4,53.0,1111.0,77.36569735819188,"(57, 199)",[]
2,5,57.0,1186.0,78.06373570833892,"(50, 207)","[[(169, 215), 9], [(169, 215), 13]]"
2,6,55.0,1123.0,69.87654145770875,"(119, 201)","[[(85, 214), 45], [(113, 236), 51], [(72, 218), 56], [(113, 236), 65]]"
2,7,50.0,1102.0,70.4400528,"(50, 205)","[[(169, 215), 16], [(113, 236), 24], [(85, 214), 34]]"
2,8,51.0,1051.0,70.45213,"(93, 112)",[]
2,9,50.0,945.0,53.888307199999986,"(217, 251)","[[(169, 215), 24]]"
3,1,51.0,1078.0,89.1817509563858,"(51, 200)",[]
3,2,53.0,900.0,50.75891827420371,"(123, 253)","[[(113, 236), 13]]"
3,3,53.0,1139.0,92.76213873051275,"(157, 157)",[]
3,4,57.0,1135.0,91.1520622601589,"(166, 271)",[]
3,5,61.0,1229.0,87.57108433484466,"(195, 243)","[[(169, 215), 9], [(169, 215), 13]]"
