Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,51.0,1039.0,0.0,"(118, 114)","[[(206, 296), 8], [(100, 167), 12], [(100, 167), 14]]"
0,2,53.0,1070.0,0.0,"(162, 120)","[[(120, 140), 14]]"
0,3,50.0,1012.0,0.0,"(53, 174)","[[(148, 134), 14]]"
0,4,57.0,1143.0,0.0,"(83, 204)","[[(100, 167), 4], [(104, 241), 6], [(206, 296), 7], [(168, 235), 9], [(168, 235), 10], [(120, 140), 11], [(211, 247), 12], [(148, 134), 13], [(105, 228), 14]]"
0,5,54.0,1098.0,0.0,"(119, 42)",[]
0,6,54.0,1096.0,0.0,"(123, 206)","[[(206, 296), 6], [(100, 167), 8], [(206, 296), 10], [(48, 173), 11], [(75, 199), 12]]"
0,7,49.0,991.0,0.0,"(34, 199)",[]
0,8,49.0,991.0,0.0,"(137, 236)",[]
0,9,47.0,943.0,0.0,"(241, 284)","[[(75, 199), 13]]"
1,1,54.0,989.0,45.099999999999994,"(118, 114)","[[(206, 296), 8], [(100, 167), 12], [(100, 167), 14]]"
1,2,48.0,1106.0,50.80707999999999,"(162, 120)","[[(120, 140), 14]]"
1,3,49.0,1047.0,51.65573,"(53, 174)","[[(148, 134), 14]]"
1,4,59.0,1180.0,56.010369999999995,"(83, 204)","[[(100, 167), 4], [(104, 241), 6], [(206, 296), 7], [(168, 235), 9], [(168, 235), 10], [(120, 140), 11], [(211, 247), 12], [(148, 134), 13], [(105, 228), 14]]"
1,5,54.0,1136.0,40.39999999999999,"(119, 42)",[]
1,6,53.0,1128.0,52.497119999999995,"(123, 206)","[[(206, 296), 6], [(100, 167), 8], [(206, 296), 10], [(48, 173), 11], [(75, 199), 12]]"
1,7,51.0,1023.0,48.39999999999999,"(34, 199)",[]
1,8,49.0,913.0,46.999999999999986,"(137, 236)",[]
1,9,47.0,973.0,47.89925,"(241, 284)","[[(75, 199), 13]]"
2,1,53.0,1019.0,60.69931329999999,"(62, 230)","[[(206, 296), 8], [(100, 167), 12], [(100, 167), 14]]"
2,2,52.0,1144.0,86.8106282757542,"(112, 247)","[[(120, 140), 14]]"
