Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,53.0,1063.0,0.0,"(94, 160)","[[(142, 200), 17], [(195, 234), 19], [(172, 139), 20], [(92, 219), 22], [(72, 194), 23], [(170, 213), 25], [(92, 219), 26], [(46, 165), 27], [(224, 278), 28], [(165, 260), 29]]"
0,2,50.0,1012.0,0.0,"(107, 218)","[[(170, 213), 10], [(143, 245), 11], [(172, 139), 14], [(152, 100), 17], [(170, 213), 18], [(165, 260), 19], [(165, 260), 20], [(165, 260), 21], [(102, 150), 22], [(165, 260), 23], [(142, 200), 24], [(113, 73), 25], [(165, 260), 26], [(89, 37), 27], [(172, 139), 28], [(34, 207), 29], [(71, 67), 30], [(102, 150), 31], [(71, 67), 32], [(165, 260), 33], [(224, 278), 36]]"
0,3,53.0,1074.0,0.0,"(162, 248)","[[(224, 278), 9], [(224, 278), 10], [(143, 245), 11], [(224, 278), 12], [(172, 139), 13], [(142, 200), 16], [(242, 276), 17], [(89, 37), 20], [(142, 200), 23], [(143, 245), 25], [(242, 276), 26], [(113, 73), 27], [(104, 206), 28], [(46, 165), 29]]"
0,4,52.0,1046.0,0.0,"(212, 254)","[[(143, 245), 7], [(115, 92), 8], [(34, 207), 10], [(195, 234), 12], [(104, 206), 13], [(152, 100), 15], [(143, 245), 16], [(72, 194), 17], [(172, 139), 18], [(137, 135), 19], [(104, 206), 20], [(153, 170), 21], [(104, 206), 22], [(46, 165), 23], [(224, 278), 24], [(170, 213), 25], [(89, 37), 26], [(181, 302), 27]]"
0,5,51.0,1021.0,0.0,"(109, 163)","[[(115, 92), 10], [(115, 92), 12], [(172, 139), 16], [(165, 260), 17], [(34, 207), 20], [(72, 194), 21], [(102, 150), 22], [(104, 206), 23], [(165, 260), 24], [(72, 194), 26], [(72, 194), 27], [(224, 278), 31], [(142, 200), 34], [(142, 200), 35], [(224, 278), 36], [(242, 276), 37], [(46, 165), 39], [(143, 245), 40], [(172, 139), 42], [(107, 97), 44], [(46, 165), 46]]"
0,6,51.0,1028.0,0.0,"(168, 274)","[[(143, 245), 6], [(170, 213), 9], [(224, 278), 10], [(170, 213), 13], [(170, 213), 15], [(102, 150), 16], [(46, 165), 17], [(89, 37), 18], [(190, 151), 19], [(92, 219), 20], [(113, 73), 21], [(242, 276), 22], [(92, 219), 23], [(71, 67), 25], [(102, 150), 26], [(170, 236), 27], [(104, 206), 28], [(242, 276), 29]]"
0,7,50.0,1018.0,0.0,"(208, 219)","[[(165, 260), 14], [(72, 194), 19], [(170, 213), 22], [(142, 200), 23], [(170, 302), 26], [(165, 260), 27], [(195, 234), 28], [(143, 245), 29], [(115, 92), 30]]"
0,8,54.0,1084.0,0.0,"(207, 217)","[[(195, 234), 11], [(165, 260), 13], [(195, 234), 14], [(143, 245), 15], [(152, 100), 16], [(104, 206), 19], [(72, 194), 21], [(104, 206), 22], [(102, 150), 24], [(34, 207), 25], [(115, 92), 26], [(142, 200), 27], [(143, 245), 28], [(142, 200), 29]]"
0,9,50.0,1002.0,0.0,"(156, 237)","[[(46, 165), 18], [(142, 200), 19], [(46, 165), 20], [(170, 213), 21], [(224, 278), 23], [(172, 139), 24], [(104, 206), 25], [(143, 245), 26], [(92, 219), 27], [(165, 260), 28], [(113, 73), 29]]"
1,1,53.0,1091.0,54.86546837587444,"(94, 160)","[[(142, 200), 17], [(195, 234), 19], [(172, 139), 20], [(92, 219), 22], [(72, 194), 23], [(170, 213), 25], [(92, 219), 26], [(46, 165), 27], [(224, 278), 28], [(165, 260), 29]]"
