Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,55.0,1117.0,0.0,"(115, 236)","[[(95, 225), 23], [(174, 262), 27], [(92, 162), 33], [(158, 213), 37], [(85, 151), 38], [(92, 162), 39], [(55, 117), 42], [(53, 155), 43], [(48, 180), 45]]"
0,2,51.0,1025.0,0.0,"(52, 110)",[]
0,3,54.0,1098.0,0.0,"(102, 128)","[[(174, 262), 23], [(95, 225), 30], [(92, 162), 36], [(174, 262), 39], [(48, 180), 41], [(72, 125), 42]]"
0,4,51.0,1036.0,0.0,"(211, 250)","[[(174, 262), 30], [(92, 162), 31], [(48, 180), 38], [(116, 260), 39], [(109, 98), 41], [(102, 212), 42], [(92, 162), 44], [(149, 274), 45], [(198, 296), 47], [(116, 260), 49], [(92, 162), 50]]"
0,5,49.0,998.0,0.0,"(218, 287)","[[(92, 162), 13], [(174, 262), 19], [(92, 162), 27]]"
0,6,50.0,1012.0,0.0,"(161, 168)","[[(92, 162), 24], [(109, 98), 41], [(102, 212), 46], [(102, 212), 48], [(153, 180), 49], [(77, 144), 51], [(174, 262), 53], [(92, 162), 56], [(48, 180), 57], [(109, 98), 59], [(72, 125), 61], [(174, 262), 62], [(48, 180), 67], [(157, 251), 69], [(174, 262), 72], [(92, 162), 74]]"
0,7,56.0,1130.0,0.0,"(137, 247)","[[(92, 162), 17], [(174, 262), 21], [(92, 162), 39], [(102, 212), 40], [(77, 144), 42], [(48, 180), 43], [(48, 180), 44], [(131, 199), 46], [(77, 144), 49], [(157, 251), 68], [(92, 162), 70], [(77, 144), 71]]"
0,8,52.0,1042.0,0.0,"(80, 41)",[]
0,9,54.0,1083.0,0.0,"(254, 280)","[[(92, 162), 10], [(174, 262), 18]]"
1,1,55.0,968.0,49.5,"(115, 236)","[[(95, 225), 23], [(174, 262), 27], [(92, 162), 33], [(158, 213), 37], [(85, 151), 38], [(92, 162), 39], [(55, 117), 42], [(53, 155), 43], [(48, 180), 45]]"
1,2,53.0,802.0,24.499999999999993,"(52, 110)",[]
1,3,53.0,826.0,42.0,"(102, 128)","[[(174, 262), 23], [(95, 225), 30], [(92, 162), 36], [(174, 262), 39], [(48, 180), 41], [(72, 125), 42]]"
