Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,51.0,1029.0,0.0,"(65, 59)","[[(150, 279), 22], [(199, 271), 25], [(143, 161), 26], [(108, 159), 27], [(66, 218), 28], [(37, 151), 30], [(157, 230), 31], [(66, 218), 32], [(56, 164), 33], [(108, 159), 35], [(108, 159), 37], [(37, 151), 38], [(157, 230), 39], [(65, 111), 40], [(94, 213), 41], [(157, 230), 43], [(94, 213), 45], [(82, 69), 50], [(82, 69), 51], [(94, 213), 52], [(82, 69), 53]]"
0,2,53.0,1079.0,0.0,"(74, 68)","[[(199, 271), 7], [(199, 271), 11], [(82, 69), 14], [(199, 271), 15], [(108, 159), 16], [(150, 279), 18], [(65, 111), 19], [(143, 161), 20], [(143, 161), 21], [(56, 164), 22], [(157, 230), 23], [(199, 271), 24], [(66, 218), 25], [(82, 69), 26]]"
0,3,55.0,1106.0,0.0,"(110, 81)","[[(199, 271), 5], [(89, 136), 7], [(199, 271), 8], [(247, 264), 9], [(244, 288), 10], [(199, 271), 12], [(191, 232), 13], [(247, 264), 14], [(204, 298), 15], [(143, 161), 16], [(199, 271), 17], [(204, 298), 18], [(82, 69), 19], [(40, 205), 22], [(191, 232), 24], [(143, 161), 25], [(122, 219), 26], [(94, 213), 27]]"
0,4,51.0,1028.0,0.0,"(72, 102)","[[(244, 288), 13], [(82, 69), 16], [(191, 232), 17], [(89, 136), 18], [(89, 136), 19], [(191, 232), 20], [(204, 298), 24], [(199, 271), 25]]"
0,5,51.0,1028.0,0.0,"(205, 150)","[[(199, 271), 7], [(191, 232), 16], [(89, 136), 17], [(244, 288), 18], [(143, 161), 21], [(82, 69), 22], [(150, 279), 23], [(108, 159), 25], [(199, 271), 26], [(143, 161), 29], [(66, 218), 30]]"
0,6,49.0,998.0,0.0,"(144, 190)","[[(82, 69), 15], [(82, 69), 18], [(191, 232), 19], [(89, 136), 22], [(150, 279), 25], [(82, 69), 26], [(37, 151), 27], [(56, 164), 29]]"
0,7,49.0,993.0,0.0,"(198, 132)","[[(89, 136), 11], [(199, 271), 16], [(165, 159), 17], [(191, 232), 18], [(199, 271), 22], [(191, 232), 23], [(123, 91), 24], [(89, 136), 25]]"
0,8,49.0,991.0,0.0,"(205, 228)","[[(199, 271), 6]]"
0,9,50.0,1009.0,0.0,"(211, 284)","[[(247, 264), 12], [(244, 288), 15], [(244, 288), 17], [(199, 271), 19], [(37, 151), 22], [(199, 271), 23], [(66, 218), 24], [(40, 205), 25], [(82, 69), 27]]"
1,1,51.0,1044.0,35.59999999999999,"(65, 59)","[[(150, 279), 22], [(199, 271), 25], [(143, 161), 26], [(108, 159), 27], [(66, 218), 28], [(37, 151), 30], [(157, 230), 31], [(66, 218), 32], [(56, 164), 33], [(108, 159), 35], [(108, 159), 37], [(37, 151), 38], [(157, 230), 39], [(65, 111), 40], [(94, 213), 41], [(157, 230), 43], [(94, 213), 45], [(82, 69), 50], [(82, 69), 51], [(94, 213), 52], [(82, 69), 53]]"
