Step,AgentID,Manpower,flocks,surplus,position,enclosures
0,1,54.0,1080.0,0.0,"(199, 142)","[[(64, 161), 20], [(87, 220), 25], [(64, 161), 27], [(63, 122), 35], [(176, 263), 41], [(113, 181), 43], [(113, 181), 45], [(85, 161), 48], [(87, 220), 51], [(38, 190), 53], [(87, 220), 54]]"
0,2,51.0,1026.0,0.0,"(97, 180)","[[(158, 255), 35], [(38, 190), 36], [(63, 122), 38], [(85, 161), 39], [(38, 190), 41]]"
0,3,50.0,1010.0,0.0,"(68, 82)","[[(64, 161), 21], [(87, 220), 24], [(64, 161), 26], [(182, 307), 33], [(176, 263), 35], [(64, 161), 36], [(180, 219), 42], [(85, 161), 44], [(176, 263), 45], [(176, 263), 46], [(182, 307), 47], [(38, 190), 48], [(176, 263), 56], [(38, 190), 64], [(176, 263), 66]]"
0,4,48.0,965.0,0.0,"(124, 89)",[]
0,5,52.0,1054.0,0.0,"(112, 128)","[[(64, 161), 19], [(87, 220), 23], [(113, 181), 24]]"
0,6,55.0,1114.0,0.0,"(138, 131)",[]
0,7,52.0,1047.0,0.0,"(210, 239)","[[(38, 190), 39], [(87, 220), 41], [(158, 255), 42], [(113, 181), 44], [(63, 122), 59], [(140, 240), 60], [(113, 181), 62], [(63, 122), 64], [(85, 161), 66], [(38, 190), 67], [(180, 219), 73]]"
0,8,58.0,1178.0,0.0,"(130, 203)",[]
0,9,51.0,1039.0,0.0,"(61, 76)","[[(38, 190), 37], [(38, 190), 39], [(87, 220), 42], [(87, 220), 43], [(87, 220), 46], [(180, 219), 47], [(85, 161), 57], [(85, 161), 58], [(180, 219), 61], [(38, 190), 62], [(85, 161), 63], [(87, 220), 64], [(180, 219), 66], [(176, 263), 67]]"
1,1,54.0,1000.0,20.89999999999999,"(199, 142)","[[(64, 161), 20], [(87, 220), 25], [(64, 161), 27], [(63, 122), 35], [(176, 263), 41], [(113, 181), 43], [(113, 181), 45], [(85, 161), 48], [(87, 220), 51], [(38, 190), 53], [(87, 220), 54]]"
1,2,51.0,1056.0,49.32412999999999,"(97, 180)","[[(158, 255), 35], [(38, 190), 36], [(63, 122), 38], [(85, 161), 39], [(38, 190), 41]]"
1,3,50.0,1029.0,35.900000000000006,"(68, 82)","[[(64, 161), 21], [(87, 220), 24], [(64, 161), 26], [(182, 307), 33], [(176, 263), 35], [(64, 161), 36], [(180, 219), 42], [(85, 161), 44], [(176, 263), 45], [(176, 263), 46], [(182, 307), 47], [(38, 190), 48], [(176, 263), 56], [(38, 190), 64], [(176, 263), 66]]"
1,4,48.0,988.0,49.59501833045078,"(124, 89)",[]
1,5,52.0,1075.0,54.981330102798964,"(112, 128)","[[(64, 161), 19], [(87, 220), 23], [(113, 181), 24]]"
1,6,55.0,1133.0,54.457,"(138, 131)",[]
1,7,54.0,1079.0,47.4,"(210, 239)","[[(38, 190), 39], [(87, 220), 41], [(158, 255), 42], [(113, 181), 44], [(63, 122), 59], [(140, 240), 60], [(113, 181), 62], [(63, 122), 64], [(85, 161), 66], [(38, 190), 67], [(180, 219), 73]]"
1,8,58.0,1215.0,56.52228000000001,"(130, 203)",[]
1,9,52.0,1053.0,36.49999999999999,"(61, 76)","[[(38, 190), 37], [(38, 190), 39], [(87, 220), 42], [(87, 220), 43], [(87, 220), 46], [(180, 219), 47], [(85, 161), 57], [(85, 161), 58], [(180, 219), 61], [(38, 190), 62], [(85, 161), 63], [(87, 220), 64], [(180, 219), 66], [(176, 263), 67]]"
2,1,57.0,1017.0,17.329999999999984,"(206, 148)","[[(64, 161), 20], [(87, 220), 25], [(64, 161), 27], [(63, 122), 35], [(176, 263), 41], [(113, 181), 43], [(113, 181), 45], [(85, 161), 48], [(87, 220), 51], [(38, 190), 53], [(87, 220), 54]]"
2,2,48.0,1017.0,71.95871125142236,"(153, 176)","[[(158, 255), 35], [(38, 190), 36], [(63, 122), 38], [(85, 161), 39], [(38, 190), 41]]"
2,3,49.0,1053.0,74.64264373974466,"(146, 289)","[[(64, 161), 21], [(87, 220), 24], [(64, 161), 26], [(182, 307), 33], [(176, 263), 35], [(64, 161), 36], [(180, 219), 42], [(85, 161), 44], [(176, 263), 45], [(176, 263), 46], [(182, 307), 47], [(38, 190), 48], [(176, 263), 56], [(38, 190), 64], [(176, 263), 66]]"
2,4,47.0,1010.0,66.02459307614157,"(55, 230)",[]
2,5,46.0,1047.0,73.73187758484053,"(52, 146)","[[(64, 161), 19], [(87, 220), 23], [(113, 181), 24]]"
2,6,60.0,1176.0,81.24090031197,"(77, 192)",[]
2,7,53.0,1106.0,77.41439879999999,"(125, 235)","[[(38, 190), 39], [(87, 220), 41], [(158, 255), 42], [(113, 181), 44], [(63, 122), 59], [(140, 240), 60], [(113, 181), 62], [(63, 122), 64], [(85, 161), 66], [(38, 190), 67], [(180, 219), 73]]"
2,8,62.0,1229.0,81.26305115149437,"(69, 235)",[]
2,9,51.0,1082.0,70.7232325,"(206, 263)","[[(38, 190), 37], [(38, 190), 39], [(87, 220), 42], [(87, 220), 43], [(87, 220), 46], [(180, 219), 47], [(85, 161), 57], [(85, 161), 58], [(180, 219), 61], [(38, 190), 62], [(85, 161), 63], [(87, 220), 64], [(180, 219), 66], [(176, 263), 67]]"
3,1,56.0,1045.0,50.36347778500203,"(145, 127)","[[(64, 161), 20], [(87, 220), 25], [(64, 161), 27], [(63, 122), 35], [(176, 263), 41], [(113, 181), 43], [(113, 181), 45], [(85, 161), 48], [(87, 220), 51], [(38, 190), 53], [(87, 220), 54]]"
3,2,52.0,1038.0,80.92504591621315,"(85, 245)","[[(158, 255), 35], [(38, 190), 36], [(63, 122), 38], [(85, 161), 39], [(38, 190), 41]]"
3,3,49.0,1085.0,86.6810709395372,"(97, 210)","[[(64, 161), 21], [(87, 220), 24], [(64, 161), 26], [(182, 307), 33], [(176, 263), 35], [(64, 161), 36], [(180, 219), 42], [(85, 161), 44], [(176, 263), 45], [(176, 263), 46], [(182, 307), 47], [(38, 190), 48], [(176, 263), 56], [(38, 190), 64], [(176, 263), 66]]"
3,4,46.0,982.0,73.11840881133841,"(68, 50)",[]
3,5,49.0,1068.0,91.21551394740352,"(129, 273)","[[(64, 161), 19], [(87, 220), 23], [(113, 181), 24]]"
3,6,64.0,1199.0,85.29657785006277,"(147, 204)",[]
